DATE,RCH[m3/s],RCH[m/day],m3/d,R_h
2018-07-28,0.0358282,0.000668587,3095.5564799999997,3359.130703338746
2018-07-29,0.034983876,0.000652831,3022.6068864,3280.6490437193215
2018-07-30,0.034317704,0.000640399,2965.0496255999997,3211.7155030386166
2018-07-31,0.034337447,0.000640768,2966.7554208,3178.1545834612107
2018-08-01,0.033489402,0.000624943,2893.4843328,3106.794180528641
2018-08-02,0.032745216,0.000611055,2829.1866624,3040.281129718631
2018-08-03,0.032380396,0.000604248,2797.6662143999997,2992.7612489340227
2018-08-04,0.031760859,0.000592686,2744.1382176,2934.9369859232597
2018-08-05,0.031048271,0.000579389,2682.5706144,2873.1316245340035
2018-08-06,0.03217934,0.000600496,2780.294976,2902.155969227243
2018-08-07,0.03217952,0.000600499,2780.3105280000004,2885.104294815429
2018-08-08,0.032499726,0.000606474,2807.9763264,2886.2026725492688
2018-08-09,0.032883507,0.000613636,2841.1350048,2894.151430776371
2018-08-10,0.032329384,0.000603296,2793.2587776,2859.4396816356793
2018-08-11,0.031766894,0.000592799,2744.6596415999998,2822.472847550684
2018-08-12,0.031185669,0.000581953,2694.4418016,2782.9548299175885
2018-08-13,0.030600527,0.000571034,2643.8855328,2741.7459327371257
2018-08-14,0.030004099,0.000559904,2592.3541536,2698.6725906019283
2018-08-15,0.029283094,0.000546449,2530.0593215999997,2648.2799551816584
2018-08-16,0.029144472,0.000543862,2518.0823808,2624.902210224226
2018-08-17,0.031061529,0.000579636,2683.7161056,2704.358657240835
2018-08-18,0.032013292,0.000597397,2765.9484288,2748.3411242351176
2018-08-19,0.031219639,0.000582587,2697.3768096,2711.7203239302007
2018-08-20,0.030218663,0.000563908,2610.8924832,2660.416165875973
2018-08-21,0.029806263,0.000556212,2575.2611232,2633.1729751013368
2018-08-22,0.029624235,0.000552815,2559.533904,2616.1008008911494
2018-08-23,0.029220869,0.000545288,2524.6830816,2588.316466558389
2018-08-24,0.02863167,0.000534293,2473.776288,2550.3909203122143
2018-08-25,0.028354456,0.00052912,2449.8249984,2526.012636716504
2018-08-26,0.028893581,0.00053918,2496.4053984,2541.8971953521936
2018-08-27,0.028535212,0.000532493,2465.4423168,2517.8793872668866
2018-08-28,0.028243141,0.000527043,2440.2073824,2496.1542847935225
2018-08-29,0.030275058,0.00056496,2615.7650112,2588.389566874429
2018-08-30,0.033397344,0.000623225,2885.5305216,2745.9884700080092
2018-08-31,0.03233011,0.000603309,2793.321504,2712.9652171988882
2018-09-01,0.030744975,0.000573729,2656.36584,2646.1503688710436
2018-09-02,0.031838852,0.000594142,2750.8768128,2701.4517893250977
2018-09-03,0.031911161,0.000595491,2757.1243104,2711.9323662435836
2018-09-04,0.032390128,0.000604429,2798.5070591999997,2741.847405241482
2018-09-05,0.228024427,0.004255143,19701.3104928,12384.377713947673
2018-09-06,0.316705594,0.005910014,27363.363321599998,17776.118415402998
2018-09-07,0.23450972,0.004376164,20261.639808,15070.35029951858
2018-09-08,0.129244724,0.002411824,11166.7441536,10613.040307697978
2018-09-09,0.096778997,0.001805984,8361.705340800001,9091.686722828263
2018-09-10,0.089432267,0.001668887,7726.9478688,8627.677570304306
2018-09-11,0.072926217,0.001360869,6300.8251488000005,7688.685461693703
2018-09-12,0.065735242,0.001226679,5679.5249088,7140.243881088583
2018-09-13,0.063762241,0.001189861,5509.0576224,6838.576871720182
2018-09-14,0.060302349,0.001125297,5210.1229536,6482.051415599357
2018-09-15,0.057518364,0.001073345,4969.5866496,6166.875737639447
2018-09-16,0.05525826,0.001031169,4774.313663999999,5887.949663521924
2018-09-17,0.054186891,0.001011177,4681.7473824,5679.277843076854
2018-09-18,0.052692618,0.000983292,4552.6421952,5466.033621878095
2018-09-19,0.222461159,0.004151327,19220.6441376,13698.919929311163
2018-09-20,0.172003221,0.003209736,14861.0782944,11987.0087878476
2018-09-21,0.36440664,0.006800158,31484.733696,21864.862097676934
2018-09-22,0.224065779,0.004181271,19359.283305599998,16300.137398914165
2018-09-23,0.127391014,0.002377232,11006.5836096,11967.378999130182
2018-09-24,0.110643162,0.002064702,9559.569196800001,11008.069429299956
2018-09-25,0.101793052,0.001899551,8794.9196928,10369.429179469962
2018-09-26,0.100227441,0.001870335,8659.6509024,10071.894640808168
2018-09-27,0.094934097,0.001771556,8202.3059808,9613.493912119024
2018-09-28,0.086751212,0.001618856,7495.304716799999,9012.936881254362
2018-09-29,0.083882803,0.001565329,7247.4741792,8659.20497179875
2018-09-30,0.082310495,0.001535988,7111.626768,8384.129636450925
2018-10-01,0.080817404,0.001508126,6982.6237056,8132.447489299795
2018-10-02,0.236416591,0.004411748,20426.3934624,15634.420920957824
2018-10-03,0.178191416,0.003325213,15395.7383424,13437.823658359728
2018-10-04,0.124462399,0.002322581,10753.5512736,11065.885084909367
2018-10-05,0.096356693,0.001798103,8325.218275199999,9638.008542238054
2018-10-06,0.136738117,0.002551657,11814.1733088,11442.922274004726
2018-10-07,0.090363621,0.001686267,7807.4168544,9211.046239868065
2018-10-08,0.094969839,0.001772223,8205.3940896,9241.385149966536
2018-10-09,0.268313143,0.005006967,23182.255555199998,17633.15743690722
2018-10-10,0.388261648,0.007245315,33545.8063872,24317.25514770821
2018-10-11,0.245147846,0.004574681,21180.7738944,18561.183800341063
2018-10-12,0.15302246,0.002855538,13221.140544,14390.935403781314
2018-10-13,0.136525772,0.002547695,11795.826700799998,13414.735232787927
2018-10-14,0.124832863,0.002329494,10785.5593632,12612.23565587762
2018-10-15,0.190301889,0.003551206,16442.0832096,15580.719567350752
2018-10-16,0.12357731,0.002306065,10677.079584,12415.258410673647
2018-10-17,0.120237525,0.002243741,10388.52216,12007.435643259338
2018-10-18,0.117771902,0.002197731,10175.4923328,11659.36075409903
2018-10-19,0.115910355,0.002162992,10014.654672,11359.941708461167
2018-10-20,0.143167009,0.002671626,12369.6295776,12513.937219548603
2018-10-21,0.113855368,0.002124644,9837.1037952,11050.194453707798
2018-10-22,0.110181829,0.002056093,9519.7100256,10699.447312844706
2018-10-23,0.106445686,0.001986373,9196.9072704,10350.286522166447
2018-10-24,0.103947047,0.001939746,8981.0248608,10065.760453447143
2018-10-25,0.100533316,0.001876043,8686.0785024,9745.778046188543
2018-10-26,0.097629235,0.00182185,8435.165904,9454.399928970146
2018-10-27,0.094929336,0.001771468,8201.8946304,9178.742539522325
2018-10-28,0.093829847,0.00175095,8106.898780799999,8987.8361979732
2018-10-29,0.095000151,0.001772789,8208.013046400001,8922.140090960953
2018-10-30,0.09140535,0.001705707,7897.42224,8645.125545074417
2018-10-31,0.090365985,0.001686311,7807.621104,8489.260434844
2018-11-01,0.089416012,0.001668584,7725.543436800001,8347.04665822184
2018-11-02,0.088489559,0.001651295,7645.497897599999,8214.410249878782
2018-11-03,0.087610655,0.001634894,7569.560592,8091.478256367753
2018-11-04,0.098432677,0.001836843,8504.5832928,8551.372722812266
2018-11-05,0.270936073,0.005055913,23408.8767072,17040.26944881855
2018-11-06,0.175555236,0.00327602,15167.9723904,13234.559004415953
2018-11-07,0.185019003,0.003452622,15985.641859199999,13971.308475669717
2018-11-08,0.113933898,0.00212611,9843.888787200001,10752.51589832396
2018-11-09,0.11194231,0.002088945,9671.815584,10527.226376942603
2018-11-10,0.107394577,0.00200408,9278.8914528,10183.502111146641
2018-11-11,0.102260406,0.001908272,8835.2990784,9804.00896557011
2018-11-12,0.098511584,0.001838316,8511.4008576,9483.767595510295
2018-11-13,0.097461402,0.001818718,8420.6651328,9295.916889066855
2018-11-14,0.096466079,0.001800145,8334.6692256,9124.363976085495
2018-11-15,0.095519859,0.001782487,8252.9158176,8967.207268457525
2018-11-16,0.09611368,0.001793568,8304.221952,8896.450961945473
2018-11-17,0.094443913,0.001762409,8159.9540832,8731.306215337107
2018-11-18,0.093017098,0.001735783,8036.677267200001,8581.049131717911
2018-11-19,0.092056956,0.001717866,7953.720998399999,8457.551997469403
2018-11-20,0.091219057,0.00170223,7881.326524800001,8345.750807647688
2018-11-21,0.088302637,0.001647807,7629.347836800001,8137.103555889011
2018-11-22,0.086508118,0.00161432,7474.301395199999,7977.6412835045485
2018-11-23,0.086029575,0.00160539,7432.95528,7883.606413477913
2018-11-24,0.129071417,0.00240859,11151.770428799999,9940.239889607004
2018-11-25,0.092288346,0.001722184,7973.713094399999,8298.361484486024
2018-11-26,0.0846396,0.001579452,7312.86144,7876.22526686598
2018-11-27,0.083691061,0.001561751,7230.9076704,7750.640682432743
2018-11-28,0.082721089,0.001543651,7147.1020896,7630.1088796921595
2018-11-29,0.081759958,0.001525715,7064.060371199999,7515.154149591257
2018-11-30,0.080982163,0.001511201,6996.8588832,7413.696172456481
2018-12-01,0.080351302,0.001499428,6942.3524928,7324.270309432573
