from_id,to_id,x_0,y_0,z_0,x_1,y_1,z_1,is_conduit
117.0,2403.0,558438.350473112,4867747.079644086,0.0,558463.350473112,4867747.079644086,0.0,True
2403.0,2404.0,558463.350473112,4867747.079644086,0.0,558488.350473112,4867747.079644086,0.0,True
2404.0,2405.0,558488.350473112,4867747.079644086,0.0,558513.350473112,4867747.079644086,0.0,True
231.0,2461.0,558338.350473112,4868147.079644086,0.0,558338.350473112,4868172.079644086,0.0,True
2461.0,2462.0,558338.350473112,4868172.079644086,0.0,558338.350473112,4868197.079644086,0.0,True
2462.0,2463.0,558338.350473112,4868197.079644086,0.0,558338.350473112,4868222.079644086,0.0,True
2463.0,260.0,558338.350473112,4868222.079644086,0.0,558338.350473112,4868247.079644086,0.0,True
356.0,2508.0,558138.350473112,4868647.079644086,0.0,558138.350473112,4868672.079644086,0.0,True
2508.0,2509.0,558138.350473112,4868672.079644086,0.0,558138.350473112,4868697.079644086,0.0,True
2509.0,2510.0,558138.350473112,4868697.079644086,0.0,558138.350473112,4868722.079644086,0.0,True
2510.0,376.0,558138.350473112,4868722.079644086,0.0,558138.350473112,4868747.079644086,0.0,True
203.0,2570.0,558438.350473112,4868047.079644086,0.0,558438.350473112,4868072.079644086,0.0,True
2570.0,2571.0,558438.350473112,4868072.079644086,0.0,558438.350473112,4868097.079644086,0.0,True
2571.0,2572.0,558438.350473112,4868097.079644086,0.0,558438.350473112,4868122.079644086,0.0,True
2572.0,232.0,558438.350473112,4868122.079644086,0.0,558438.350473112,4868147.079644086,0.0,True
374.0,2624.0,557938.350473112,4868747.079644086,0.0,557938.350473112,4868772.079644086,0.0,True
2624.0,2625.0,557938.350473112,4868772.079644086,0.0,557938.350473112,4868797.079644086,0.0,True
2625.0,2626.0,557938.350473112,4868797.079644086,0.0,557938.350473112,4868822.079644086,0.0,True
2626.0,392.0,557938.350473112,4868822.079644086,0.0,557938.350473112,4868847.079644086,0.0,True
273.0,2731.0,559638.350473112,4868247.079644086,0.0,559621.6838064453,4868263.746310753,0.0,True
2731.0,2732.0,559621.6838064453,4868263.746310753,0.0,559605.0171397786,4868280.412977419,0.0,True
2732.0,2733.0,559605.0171397786,4868280.412977419,0.0,559588.350473112,4868297.079644086,0.0,True
2733.0,2734.0,559588.350473112,4868297.079644086,0.0,559571.6838064453,4868313.746310753,0.0,True
2734.0,2735.0,559571.6838064453,4868313.746310753,0.0,559555.0171397786,4868330.412977419,0.0,True
2735.0,299.0,559555.0171397786,4868330.412977419,0.0,559538.350473112,4868347.079644086,0.0,True
435.0,2903.0,558038.350473112,4869147.079644086,0.0,558038.350473112,4869172.079644086,0.0,True
2903.0,2904.0,558038.350473112,4869172.079644086,0.0,558038.350473112,4869197.079644086,0.0,True
2904.0,2905.0,558038.350473112,4869197.079644086,0.0,558038.350473112,4869222.079644086,0.0,True
2905.0,444.0,558038.350473112,4869222.079644086,0.0,558038.350473112,4869247.079644086,0.0,True
425.0,2912.0,558238.350473112,4869047.079644086,0.0,558221.6838064453,4869063.746310753,0.0,True
2912.0,2913.0,558221.6838064453,4869063.746310753,0.0,558205.0171397786,4869080.412977419,0.0,True
2913.0,2914.0,558205.0171397786,4869080.412977419,0.0,558188.350473112,4869097.079644086,0.0,True
2914.0,2915.0,558188.350473112,4869097.079644086,0.0,558171.6838064453,4869113.746310753,0.0,True
