t, Q
2518760.0,0.04471233296880109
2518770.0,0.04471234466128978
2518780.0,0.04471239773802501
2518790.0,0.04471235271028663
2518800.0,0.044712341482704136
2518810.0,0.04471228873190465
2518820.0,0.04471223509334196
2518830.0,0.04471222635825277
2518840.0,0.04471220565166589
2518850.0,0.04471226229289608
2518860.0,0.04471227758411448
2518870.0,0.04471233569734223
2518880.0,0.044712373187139845
2518890.0,0.044712375036045776
2518900.0,0.044712362004499545
2518910.0,0.044712307216806586
2518920.0,0.044712293511502896
2518930.0,0.04471223677706793
2518940.0,0.0447122087359127
2518950.0,0.04471222162601096
2518960.0,0.04471225246530357
2518970.0,0.044712311110297366
2518980.0,0.044712323506298834
2518990.0,0.04471237980105043
2519000.0,0.04471237596798605
2519010.0,0.04471235609953154
2519020.0,0.04471232874574131
2519030.0,0.044712260799286224
2519040.0,0.04471224663373568
2519050.0,0.044712204529299776
2519060.0,0.04471222654236268
2519070.0,0.04471225660985872
2519080.0,0.04471228463947127
2519090.0,0.04471235397362792
2519100.0,0.04471236047652927
2519110.0,0.044712390383315856
2519120.0,0.0447123408648992
2519130.0,0.04471231016205386
2519140.0,0.04471228344705928
2519150.0,0.04471221436126208
2519160.0,0.044712225308097694
2519170.0,0.04471221255923749
2519180.0,0.04471227195201248
2519190.0,0.044712307839509115
2519200.0,0.04471232823154108
2519210.0,0.044712393538196206
2519220.0,0.04471236377810368
2519230.0,0.04471235863095102
2519240.0,0.044712292801395194
2519250.0,0.04471225776489542
2519260.0,0.04471223959445359
2519270.0,0.04471219600494394
2519280.0,0.04471224225767558
2519290.0,0.04471225432709615
2519300.0,0.04471231385665162
2519310.0,0.04471235718380857
2519320.0,0.04471237233835585
2519330.0,0.0447123795172738
2519340.0,0.0447123272058992
2519350.0,0.0447123094716056
2519360.0,0.044712246384364
2519370.0,0.04471222153417054
2519380.0,0.044712212329685135
2519390.0,0.04471224048724128
2519400.0,0.04471228855478619
2519410.0,0.04471230132052732
2519420.0,0.044712364567698205
2519430.0,0.044712377395919566
2519440.0,0.044712372938909145
2519450.0,0.04471233062515955
2519460.0,0.04471227629418049
2519470.0,0.04471226673385584
2519480.0,0.04471220416535882
2519490.0,0.044712222453955605
2519500.0,0.04471223644422725
2519510.0,0.04471227227650539
2519520.0,0.04471233757115728
2519530.0,0.04471234587224452
2519540.0,0.04471239335450429
2519550.0,0.04471235729445857
2519560.0,0.0447123341437931
2519570.0,0.04471229828564074
2519580.0,0.04471223039765177
2519590.0,0.04471223038914092
2519600.0,0.044712201771539485
2519610.0,0.04471225821817295
2519620.0,0.04471228314462324
2519630.0,0.04471231743159327
2519640.0,0.0447123819347862
2519650.0,0.044712366117433046
2519660.0,0.044712376747482414
2519670.0,0.04471231350236674
2519680.0,0.04471228334504968
2519690.0,0.044712256520289165
2519700.0,0.04471219842599092
2519710.0,0.044712228920519
2519720.0,0.04471223829045115
2519730.0,0.04471230617961392
2519740.0,0.04471233507910227
2519750.0,0.04471235937202234
2519760.0,0.04471239309860937
2519770.0,0.04471234780290687
2519780.0,0.04471233453708689
2519790.0,0.04471227038170971
2519800.0,0.044712235629580654
2519810.0,0.04471221289533837
2519820.0,0.04471222092107959
2519830.0,0.04471226694295694
2519840.0,0.04471228638556783
2519850.0,0.04471235238117465
2519860.0,0.0447123686594575
2519870.0,0.044712382871425246
2519880.0,0.044712345791780655
2519890.0,0.04471230028520756
2519900.0,0.04471228816686138
2519910.0,0.04471221683768761
2519920.0,0.04471221897342267
